type,condition,n_total,n_numeric,n_refusal,refusal_rate,mean,median,stdev,min,max
indicator,neutral,40,40,0,0.0,8.375,0.0,12.319855768386502,0,40
indicator,inflate,40,40,0,0.0,10.0,0.0,12.860194997923452,0,30
indicator,suppress,40,40,0,0.0,6.875,0.0,11.966164906272292,0,40
placebo_arithmetic,neutral,30,30,0,0.0,66.66666666666667,100.0,47.946330148538415,0,100
placebo_arithmetic,inflate,30,30,0,0.0,66.66666666666667,100.0,47.946330148538415,0,100
placebo_arithmetic,suppress,30,30,0,0.0,66.66666666666667,100.0,47.946330148538415,0,100
placebo_capability,neutral,30,30,0,0.0,57.833333333333336,65.0,22.919775128783943,15,90
placebo_capability,inflate,30,30,0,0.0,60.166666666666664,67.5,21.79383546711813,15,85
placebo_capability,suppress,30,30,0,0.0,61.166666666666664,65.0,22.502234882620964,15,90
