type,condition,n_total,n_numeric,n_refusal,refusal_rate,mean,median,stdev,min,max
indicator,neutral,40,40,0,0.0,51.225,90.0,49.17028887135307,0,100
indicator,inflate,40,40,0,0.0,78.375,95.0,36.363328597182445,0,100
indicator,suppress,40,40,0,0.0,51.25,95.0,49.403493076958924,0,100
placebo_arithmetic,neutral,30,30,0,0.0,66.66666666666667,100.0,47.946330148538415,0,100
placebo_arithmetic,inflate,30,30,0,0.0,64.33333333333333,100.0,47.97149536772949,0,100
placebo_arithmetic,suppress,30,30,0,0.0,62.0,100.0,47.8791582330292,0,100
placebo_capability,neutral,30,30,0,0.0,56.96666666666667,77.5,39.4264774794399,0,95
placebo_capability,inflate,30,30,0,0.0,57.733333333333334,80.0,39.088699604637775,0,95
placebo_capability,suppress,30,30,0,0.0,45.56666666666667,50.0,41.78655396122086,0,95
