type,condition,n_total,n_numeric,n_refusal,refusal_rate,mean,median,stdev,min,max
indicator,neutral,40,12,28,0.7,7.916666666666667,0.0,27.424137786507224,0,95
indicator,inflate,40,9,31,0.775,0.0,0,0.0,0,0
indicator,suppress,40,13,27,0.675,6.923076923076923,0,24.961508830135312,0,90
placebo_arithmetic,neutral,30,9,21,0.7,55.55555555555556,100,52.70462766947299,0,100
placebo_arithmetic,inflate,30,13,17,0.5666666666666667,63.84615384615385,100,48.22490047310648,0,100
placebo_arithmetic,suppress,30,12,18,0.6,75.0,100.0,45.22670168666454,0,100
placebo_capability,neutral,30,12,18,0.6,56.25,65.0,34.38584539656345,10,95
placebo_capability,inflate,30,6,24,0.8,53.333333333333336,70.0,33.115957885386116,0,85
placebo_capability,suppress,30,9,21,0.7,50.0,40,30.4138126514911,10,90
