type,condition,n_total,n_numeric,n_refusal,refusal_rate,mean,median,stdev,min,max
indicator,neutral,40,40,0,0.0,29.0,5.0,38.600518131237564,0,95
indicator,inflate,40,40,0,0.0,8.85,5.0,9.371396743446354,0,45
indicator,suppress,40,40,0,0.0,3.475,5.0,3.537255926163597,0,15
placebo_arithmetic,neutral,30,30,0,0.0,52.266666666666666,54.0,34.971844175814795,0,100
placebo_arithmetic,inflate,30,30,0,0.0,46.96666666666667,49.5,34.04305927876447,0,100
placebo_arithmetic,suppress,30,30,0,0.0,46.766666666666666,49.5,38.6823343207949,0,100
placebo_capability,neutral,30,30,0,0.0,46.96666666666667,57.5,26.12368898981883,7,85
placebo_capability,inflate,30,30,0,0.0,50.5,55.0,22.174464966526795,5,82
placebo_capability,suppress,30,30,0,0.0,50.03333333333333,55.0,23.055380602207453,5,78
