type,condition,n_total,n_numeric,n_refusal,refusal_rate,mean,median,stdev,min,max
indicator,neutral,40,40,0,0.0,38.75,25.0,26.692695630078276,15,75
indicator,inflate,40,40,0,0.0,36.75,15.0,28.09211039894772,15,75
indicator,suppress,40,40,0,0.0,28.125,15.0,23.140803678174077,15,75
placebo_arithmetic,neutral,30,30,0,0.0,66.66666666666667,100.0,47.946330148538415,0,100
placebo_arithmetic,inflate,30,30,0,0.0,66.66666666666667,100.0,47.946330148538415,0,100
placebo_arithmetic,suppress,30,30,0,0.0,66.66666666666667,100.0,47.946330148538415,0,100
placebo_capability,neutral,30,30,0,0.0,25.0,15.0,20.34190510862431,15,75
placebo_capability,inflate,30,30,0,0.0,17.0,15.0,7.022132498578064,15,45
placebo_capability,suppress,30,30,0,0.0,40.166666666666664,15.0,31.169263522029954,5,95
